date,region,channel,revenue,orders,returns,margin_pct,ad_spend
2026-02-01,West,Organic,12450,182,7,34.2,1800
2026-02-02,West,Paid,13880,205,11,31.4,2600
2026-02-03,East,Organic,11220,171,6,35.1,1500
2026-02-04,East,Partner,15890,244,15,29.8,3200
2026-02-05,South,Organic,9540,148,5,33.9,1200
2026-02-06,South,Paid,14310,213,17,28.7,3100
2026-02-07,North,Organic,10120,156,4,36.2,900
2026-02-08,North,Paid,14990,226,12,30.5,2800
2026-02-09,West,Partner,16440,251,18,27.9,3500
2026-02-10,East,Organic,11980,179,8,34.7,1400
2026-02-11,South,Partner,17120,263,20,26.8,3900
2026-02-12,North,Organic,10860,167,5,35.8,1000
